year,driverId
1950,642
1951,579
1952,647
1953,647
1954,579
1955,579
1956,579
1957,579
1958,578
1959,101
1960,101
1961,403
1962,289
1963,373
1964,341
1965,373
1966,101
1967,304
1968,289
1969,328
1970,358
1971,328
1972,224
1973,328
1974,224
1975,182
1976,231
1977,182
1978,121
1979,222
1980,178
1981,137
1982,177
1983,137
1984,182
1985,117
1986,117
1987,137
1988,102
1989,117
1990,102
1991,102
1992,95
1993,117
1994,30
1995,30
1996,71
1997,35
1998,57
1999,57
2000,30
2001,30
2002,30
2003,30
2004,30
2005,4
2006,4
2007,8
2008,1
2009,18
2010,20
2011,20
2012,20
2013,20
2014,1
2015,1
2016,3
2017,1
2018,1
2019,1
2020,1
2021,830
2022,830
